ts_code,symbol,name,area,industry,market,list_date,total_mv,circ_mv
603869.SH,603869,ST智知,广西,软件服务,主板,20150326,296646.2987,296646.2987
603871.SH,603871,嘉友国际,北京,仓储物流,主板,20180206,1546826.9335,1546826.9335
603876.SH,603876,鼎胜新材,江苏,铝,主板,20180418,866578.4235,864938.9295
603877.SH,603877,太平鸟,浙江,服饰,主板,20170109,697944.7155,691313.1119
603878.SH,603878,武进不锈,江苏,钢加工,主板,20161219,309149.0416,309149.0416
603879.SH,603879,ST永悦,江苏,化工原料,主板,20170614,145175.1538,145175.1538
603880.SH,603880,南卫股份,江苏,医疗保健,主板,20170807,163308.73,163308.73
603881.SH,603881,数据港,上海,软件服务,主板,20170208,2349691.4336,2349691.4336
603882.SH,603882,金域医学,广东,医疗保健,主板,20170908,1767793.5774,1755873.5458
603883.SH,603883,老百姓,湖南,医药商业,主板,20150423,1194110.208,1191015.5297
603885.SH,603885,吉祥航空,上海,空运,主板,20150527,2988448.1592,2988448.1592
603886.SH,603886,元祖股份,上海,食品,主板,20161228,322800.0,322800.0
603887.SH,603887,城地香江,上海,软件服务,主板,20161010,1271475.951,1242943.431
603888.SH,603888,新华网,北京,互联网,主板,20161028,1275255.1375,1275255.1375
603889.SH,603889,新澳股份,浙江,纺织,主板,20141231,468244.6945,461942.2543
603890.SH,603890,春秋电子,江苏,元器件,主板,20171212,575595.507,575595.507
603893.SH,603893,瑞芯微,福建,半导体,主板,20200207,6773638.8882,6770283.6132
603895.SH,603895,天永智能,上海,专用机械,主板,20180122,300138.16,300138.16
603896.SH,603896,寿仙谷,浙江,中成药,主板,20170510,403029.7105,403029.7105
603897.SH,603897,长城科技,浙江,电气设备,主板,20180410,511754.0532,511754.0532
603898.SH,603898,好莱客,广东,家居用品,主板,20150217,320000.4331,320000.4331
603899.SH,603899,晨光股份,上海,文教休闲,主板,20150127,2572862.1497,2572862.1497
603900.SH,603900,莱绅通灵,江苏,服饰,主板,20161123,198953.8272,197474.8272
603901.SH,603901,永创智能,浙江,专用机械,主板,20150529,505276.3215,501259.0502
603903.SH,603903,中持股份,北京,环境保护,主板,20170314,175149.1633,138780.3739
603906.SH,603906,龙蟠科技,江苏,电气设备,主板,20170410,798094.6836,678094.6836
603908.SH,603908,牧高笛,浙江,纺织,主板,20170307,222864.642,222864.642
603909.SH,603909,建发合诚,福建,建筑工程,主板,20160628,238776.5962,238776.5962
603912.SH,603912,佳力图,江苏,专用机械,主板,20171101,550473.115,550473.115
603915.SH,603915,国茂股份,江苏,机械基件,主板,20190614,1266108.874,1261390.9941
603916.SH,603916,苏博特,江苏,化工原料,主板,20171110,339169.4693,329526.2693
603917.SH,603917,合力科技,浙江,汽车配件,主板,20171204,285172.16,285172.16
603918.SH,603918,金桥信息,上海,软件服务,主板,20150528,684664.8258,684115.0734
603919.SH,603919,金徽酒,甘肃,白酒,主板,20160310,945532.6344,945532.6344
603920.SH,603920,世运电路,广东,元器件,主板,20170426,2309311.8042,2309311.8042
603922.SH,603922,金鸿顺,江苏,汽车配件,主板,20171023,473267.2,473267.2
603926.SH,603926,铁流股份,浙江,汽车配件,主板,20170510,251324.6056,245370.2756
603927.SH,603927,中科软,北京,软件服务,主板,20190909,2021920.32,2021920.32
603928.SH,603928,兴业股份,江苏,化工原料,主板,20161212,281473.92,281473.92
603929.SH,603929,亚翔集成,江苏,装修装饰,主板,20161230,813328.32,813328.32
