ts_code,symbol,name,area,industry,market,list_date,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
002128.SZ,002128,电投能源,内蒙,铝,主板,20070418,20250307,19.03,0.8752,2.0696,1.15,9.3554,7.937,1.2605,1.589,1.4748,3.836,3.836,224157.3493,224157.3493,94788.8466,4265714.3572,4265714.3572
002129.SZ,002129,TCL中环,天津,电气设备,主板,20070420,20250307,8.96,1.7549,2.5045,1.07,10.6047,,1.0443,0.6125,1.0953,2.8982,2.8982,404311.5773,404005.7606,283077.9506,3622631.7326,3619891.615
002130.SZ,002130,沃尔核材,深圳,电气设备,主板,20070420,20250307,22.13,5.6689,7.2602,0.76,39.8033,32.4391,5.0333,4.8717,4.0225,0.7599,0.7599,125989.8562,124914.9129,97536.1301,2788155.5177,2764367.0225
002131.SZ,002131,利欧股份,浙江,互联网,主板,20070427,20250307,4.52,30.1453,31.6906,2.91,15.5681,,2.3772,1.4951,1.4828,0.6591,0.6591,677152.4688,585125.5992,556593.3279,3060729.159,2644767.7084
002133.SZ,002133,广宇集团,浙江,全国地产,主板,20070427,20250307,2.6,2.1905,3.2997,0.43,52.9476,,0.5338,0.2181,0.3927,1.9231,1.9231,77414.4175,76987.0201,51107.7811,201277.4855,200166.2523
002136.SZ,002136,安纳达,安徽,化工原料,主板,20070530,20250307,9.95,1.7155,2.5389,0.69,33.1675,140.3768,1.7773,1.0135,1.1453,1.005,1.005,21502.0,21435.766,14484.3111,213944.9,213285.8717
002138.SZ,002138,顺络电子,深圳,元器件,主板,20070613,20250307,30.7,2.1536,2.4593,1.01,29.7494,29.7494,3.9526,4.1978,4.1978,0.9574,0.9574,80631.8354,75339.1921,65972.3241,2475397.3468,2312913.1975
002139.SZ,002139,拓邦股份,深圳,元器件,主板,20070629,20250307,17.95,8.9365,9.4018,1.06,43.4143,33.3968,3.3548,2.4889,2.123,0.3284,0.3284,124683.4988,107108.9847,101808.7668,2238068.8035,1922606.2754
002142.SZ,002142,宁波银行,浙江,银行,主板,20070719,20250307,24.65,0.6408,1.269,1.53,6.3747,6.0006,0.7813,2.6432,2.4429,2.4341,2.4341,660359.0792,652359.8179,329445.5547,16277851.3023,16080669.5112
002144.SZ,002144,宏达高科,浙江,纺织,主板,20070803,20250307,11.21,12.9744,14.0708,1.6,24.0904,25.6878,0.9767,3.7025,3.3468,1.3381,1.3381,17676.2528,13667.9014,12602.8991,198150.7939,153217.1747
